Title,Dialogue Ratio,Parenthetical Ratio,Words per Line,Dialogue Sentiment,Number of Scenes
CAMERA FOLLOWS THEM DOWNWARD TO REVEAL,0.8282564006727714,0.08746355685131195,19.38192419825073,0.0045896379079490976,123
BAD TEACHER,0.7877436557557925,0.07626208378088077,18.404940923737914,0.08322620925341762,131
BARTON FINK,0.006408172742047829,3.5,69.0,0.3333333333333333,0
BASIC INSTINCT,0.8252737668378719,0.3751387347391787,18.903440621531633,0.010172734012019687,138
FIRST DRAFT,0.5250877738767166,0.033739456419868794,11.073102155576382,0.0028390832689078223,137
VOICE,0.34953906370706084,0.15881561238223418,9.134589502018843,0.13223240682082152,89
BATMAN,0.1772593974940016,0.1594896331738437,10.604465709728867,0.08660585029006079,249
BATMAN,0.21123462186973085,0.1858974358974359,10.841346153846153,0.08821850540032354,210
BATTLE: LOS ANGELES,0.8093545908567038,0.02446043165467626,24.250359712230217,-0.00631217277913568,110
THE BATTLE OF SHAKER HEIGHTS,0.8642782570470905,0.07830687830687831,16.644444444444446,0.051900487756866,99
GARETH,0.23596808292982335,0.035653650254668934,11.748726655348047,0.1401405418793479,180
BEASTS OF THE SOUTHERN WILD,0.8552283764676953,0.023872679045092837,36.90185676392573,0.022738362981382695,123
BEGINNERS,0.7275993467610234,0.007075471698113208,15.76179245283019,0.11050948639272831,176
BEING HUMAN,0.28175328741390104,0.0,10.94260700389105,0.07749975475071268,168
THE BELIEVER,0.806054704788882,0.1439153439153439,19.271957671957672,0.012025721446635987,119
BELLE,0.42601263808701184,0.16136919315403422,11.4559902200489,0.1283584958034297,123
BELOVED,0.39802641297603925,0.06689246401354784,11.407281964436917,0.11502598114358249,201
THE BEST EXOTIC MARIGOLD HOTEL,0.8155870861608061,0.015525114155251141,18.110502283105024,0.1213477299122768,205
DISSOLVE TO:,0.00019752696243037176,39.25,0.625,0.0,157
BIG EYES,0.8131173106913879,0.047244094488188976,21.113610798650168,0.05335966472551853,119
EDWARD,0.8545793965254496,0.11138613861386139,27.761138613861387,0.06464677454039179,192
THE BIG WHITE,0.3855285234899329,0.15256257449344457,10.954707985697258,0.05213737432158484,157
BIRDMAN,0.42945019514678434,0.0009107468123861566,9.219489981785063,0.055633013693654386,57
JOHN,0.8819836785938481,0.043697478991596636,25.974789915966387,0.018003592898329784,179
VOICE,0.40641437164513255,0.07981220657276995,14.147417840375587,0.059680367618925104,269
BLACK RAIN,0.0016617429837518464,99.0,36.0,-0.2,110
BLACK SNAKE MOAN,0.8456471708594556,0.29171528588098017,24.868144690781797,0.02164054451802802,134
BLACK SWAN,0.8375086431572789,0.012012012012012012,23.64264264264264,0.026542594075878077,113
EMPLOYEE,0.8630268968285829,0.14982578397212543,37.45296167247387,-0.014423439289944127,140
BLADE RUNNER,0.9026963163002658,0.004016064257028112,28.63855421686747,0.037774297473947206,128
BLADE TRINITY,0.8391037049021194,0.15025041736227046,34.63439065108514,0.012985391294639877,180
BLADE,0.015888615888615888,105.0,388.0,-0.07294238683127573,110
HELEN,0.42289039767216297,0.11968503937007874,8.239370078740157,0.14751617197269393,195
THE BLIND SIDE,0.7515404268109408,0.05649717514124294,18.83521657250471,0.045897021776955975,194
THE BLING RING,0.3159933261828149,0.013008130081300813,8.622764227642277,0.12380174743057393,131
BLOOD AND WINE,0.7863725704302249,0.06374085684430512,18.812957157784744,0.021679549993503522,214
LANDSCAPES,0.848238747553816,0.06936416184971098,20.04393063583815,0.002787958439689595,43
BLUE VALENTINE,0.8045971901120398,0.002890173410404624,26.15173410404624,0.009445375806019594,147
SHOOTING DRAFT,0.7572654812998161,0.4780278670953912,13.237942122186496,0.05110016568990221,79
BODY HEAT,0.33412369756879506,0.20611551528878821,11.330690826727066,0.03028947450399061,192
CARDENAS,0.8440708298012621,0.11889596602972399,19.026539278131636,0.06500652191723626,84
FRANK,0.25410449910709143,0.17063081695966908,9.12306101344364,0.11237555760212006,224
FOLLOW WITH SHOTGUN,0.8654395872551071,0.05699481865284974,32.1580310880829,0.008637123943564409,164
BONFIRE OF THE VANITIES,0.5378382237452702,0.06972639011473963,13.298323036187114,0.05197396730253877,105
BONNIE,0.2860103967888399,0.6156914893617021,11.559840425531915,0.09371385116065964,164
BOOGIE NIGHTS,0.36859997939631195,0.01707317073170732,6.545121951219512,0.09167878239808502,144
THE BOOK OF ELI,0.8650461627236007,0.005018820577164366,30.095357590966124,0.017455510624352428,99
THE BOONDOCK SAINTS,0.8636889004884233,0.2706766917293233,29.028822055137844,-0.01194594787474451,143
ALL SAINTS DAY,0.8098889257294429,0.04264870931537598,21.931537598204265,0.002843484096890082,177
BOTTLE ROCKET,0.40157519318406976,0.11426188490408674,6.761467889908257,0.07728269553504666,95
BOUND,0.8793761935073202,0.0,17.941558441558442,-0.0029073853881051966,173
