title,dialogue ratio,parenthetical ratio,words per line,dialogue sentiment,number of scenes,runtime,release,domestic
HONEYDRIPPER,0.458558391,0,10.00813008,0.080148993,79,123,2007,267880
THE OTHER BOLEYN GIRL,0.250613559,0.131742739,6.461618257,0.172260402,202,114,2008,26814957
GARDEN STATE,0.812224997,0.027777778,16.26190476,0.072457157,60,109,2004,26782316
MACHETE,0.784167484,0.019575856,19.55301794,0.007109739,155,105,2010,26593646
BOOGIE NIGHTS,0.368599979,0.017073171,6.545121951,0.091678782,144,152,1997,26400640
THE WRESTLER,0.755580508,0.07007007,16.83983984,0.037268414,138,105,2008,26238243
STAR TREK,0.344837014,0.119555144,10.51992586,0.093449951,264,126,2009,257730019
THE BLIND SIDE,0.751540427,0.056497175,18.83521657,0.045897022,194,126,2009,255959475
BATMAN,0.177259397,0.159489633,10.60446571,0.08660585,249,126,1989,251188924
SERENITY,0.825842908,0.083417085,22.0321608,0.032970563,181,119,2005,25514517
ESCAPE FROM L.A.,0.869254467,0.151273885,33.69745223,0.018981821,133,105,1996,25477365
EX MACHINA,0.323273332,0.023591088,8.661861075,0.093247695,141,110,2015,25442958
BOYHOOD,0.544258683,0.039721946,8.34061569,0.139566008,159,166,2014,25352281
CARS,0.736326068,0.023771791,14.40095087,0.099762338,112,116,2006,244082982
FRIGHT NIGHT,0.829795697,0.163913596,29.158831,-0.044862996,142,106,1985,24922237
LORD OF WAR,0.342672253,0.480851064,12.99432624,0.048540435,139,122,2005,24149632
TINKER TAILOR SOLDIER SPY,0.277539986,0.051775148,10.93491124,0.035775259,250,127,2011,24149393
BODY HEAT,0.334123698,0.206115515,11.33069083,0.030289475,192,113,1981,24058838
OBSERVE AND REPORT,0.859632537,0.023430178,19.60074977,0.072326054,94,106,2009,24007324
CAST AWAY,0.247219942,0.034134008,8.375474083,0.063690234,300,143,2000,233632142
THE LOSERS,0.750320772,0.030907278,15.74177468,0.032936244,130,98,2010,23591432
HOTEL RWANDA,0.816567092,0.047251688,19.50626808,0.060021438,196,110,2004,23530892
MONTE CARLO,0.7975927,0.050303556,17.81613183,0.069973926,150,109,2011,23186769
THE PROGRAM,0.849276891,0.174621653,26.25145518,0.015019946,167,227,1993,23032565
SIGNS,0.265010893,0.295025729,10.432247,0.054570749,82,107,2002,227966634
HANCOCK,0.802132214,0.175552666,25.34070221,0.002038859,184,92,2008,227946274
THE BOURNE ULTIMATUM,0.291162651,0.088809947,10.34635879,0.052062217,345,111,2007,227471070
WALL-E,0.751319225,0.221153846,26.01153846,0.022832613,71,97,2008,223808164
TWO FOR THE MONEY,0.748699719,0.086519115,20.12977867,0.075557178,145,122,2005,22991379
REVOLUTIONARY ROAD,0.827899794,0.06779661,20.44491525,0.054771544,118,119,2008,22911480
BELOVED,0.398026413,0.066892464,11.40728196,0.115025981,201,172,1998,22852487
THUNDERHEART,0.882550774,0.064858491,31.87382075,-0.001016026,95,119,1992,22660758
DARKNESS,0.862521045,0.147255689,32.23427041,0.024542952,145,102,2004,22163442
TED,0.776858912,0.046632124,18.73920553,0.053248891,228,106,2012,218815487
KING KONG,0.43399264,0.199485199,17,0.0417033,239,187,2005,218080025
HOW TO TRAIN YOUR DRAGON,0.771534599,0.039950062,22.06242197,0.013091807,69,98,2010,217581231
